iter	Logloss
0	0.6882998161
1	0.6831455083
2	0.6773973108
3	0.6709668972
4	0.6653513332
5	0.6597971952
6	0.6545994246
7	0.6486635466
8	0.643778252
9	0.6382145084
10	0.6332617662
11	0.6288845703
12	0.6241444682
13	0.6202620604
14	0.6153126827
15	0.6117054906
16	0.6071786277
17	0.6027688834
18	0.6000081525
19	0.5956701445
20	0.5918030555
21	0.587291364
22	0.5840922865
23	0.5800070863
24	0.5758320903
25	0.5717683792
26	0.5691040573
27	0.5666121099
28	0.5631787754
29	0.5604557999
30	0.557279559
31	0.5547670678
32	0.5524866185
33	0.5499477728
34	0.5467296116
35	0.5438674038
36	0.5421722729
37	0.5396522989
38	0.5367198697
39	0.5341775733
40	0.5309903475
41	0.5283154745
42	0.5252053239
43	0.5236177579
44	0.5214839025
45	0.5197081192
46	0.5174116503
47	0.515279308
48	0.5128827856
49	0.5109210459
50	0.5086004736
51	0.5062688813
52	0.5038939324
53	0.5019699322
54	0.5007105033
55	0.4986626403
56	0.4966402908
57	0.4944060592
58	0.4925421617
59	0.4906921337
60	0.4889810164
61	0.4873227727
62	0.4855181125
63	0.4839041425
64	0.4818556491
65	0.4797760692
66	0.4779202737
67	0.4766138182
68	0.4751271513
69	0.4735921756
70	0.4724458063
71	0.4706832775
72	0.4691157442
73	0.4676373642
74	0.4658766408
75	0.4644798272
76	0.4633430464
77	0.4619468451
78	0.4604794244
79	0.459263922
80	0.4579949364
81	0.4567231652
82	0.455783984
83	0.4548282681
84	0.453643352
85	0.4524034355
86	0.4515510289
87	0.4503143545
88	0.4493696364
89	0.4479788558
90	0.4467989105
91	0.4461018127
92	0.4451914403
93	0.4442334469
94	0.4430305577
95	0.4420223073
96	0.4411777581
97	0.4403904596
98	0.4394700119
99	0.4384513639
100	0.4379728143
101	0.4371612922
102	0.4361525216
103	0.4356871922
104	0.4351399771
105	0.4341389472
106	0.4332680365
107	0.4324573116
108	0.4318224033
109	0.4311039352
110	0.4301636033
111	0.4296236974
112	0.4291320468
113	0.4284924287
114	0.4274391605
115	0.4267240512
116	0.4259165064
117	0.425200264
118	0.4245856453
119	0.4239660426
120	0.4234257602
121	0.4226713452
122	0.4220173941
123	0.4214606386
124	0.4207924955
125	0.420147415
126	0.4196334328
127	0.4191218753
128	0.418488858
129	0.4178544281
130	0.4172050295
131	0.4168157954
132	0.4161854909
133	0.4154427527
134	0.4150828588
135	0.4143681311
136	0.4137497053
137	0.4129785302
138	0.4123868142
139	0.4118868746
140	0.4114959108
141	0.4108425246
142	0.4103193355
143	0.4100182838
144	0.4096695102
145	0.4093498196
146	0.4087914286
147	0.4083664052
148	0.407688941
149	0.4071862634
150	0.4069139305
151	0.4065776855
152	0.4064332638
153	0.4060806128
154	0.4058791652
155	0.405362947
156	0.4050724074
157	0.4046801604
158	0.4043051354
159	0.4040052325
160	0.4034705548
161	0.4030454167
162	0.4026334407
163	0.4023051725
164	0.4020083006
165	0.4018450342
166	0.4015479179
167	0.4015167189
168	0.4011684657
169	0.400824863
170	0.4005067268
171	0.4001667755
172	0.3997159989
173	0.3995987842
174	0.399284393
175	0.3991396966
176	0.3987452107
177	0.3983177388
178	0.3981027491
179	0.3978834962
180	0.3974936093
181	0.3972297931
182	0.3969528176
183	0.396852443
184	0.3964690045
185	0.3960922325
186	0.3958988771
187	0.3954857193
188	0.3951349511
189	0.3949004297
190	0.394572549
191	0.3943430927
192	0.3940703755
193	0.3936735524
194	0.3933782696
195	0.3930165849
196	0.3928167527
197	0.3927239031
198	0.3923964778
199	0.3919238037
200	0.3915775076
201	0.3911736641
202	0.390985848
203	0.3906577133
204	0.3904739492
205	0.39012619
206	0.3898530432
207	0.3895180979
208	0.3892791335
209	0.3890345217
210	0.388878511
211	0.3884503339
212	0.3881910583
213	0.3879797083
214	0.3875812043
215	0.3873299211
216	0.3870045636
217	0.3868179551
218	0.386653476
219	0.3865212553
